"richness","sd"
52732.35,31008.7198376065
97406.45,35143.3377672315
131123.74,32272.2810644589
156764.2,29823.0164836124
174667.42,26465.0785376435
191225.99,24491.1764117243
204009.1,23679.7113497201
216036.23,20166.9480275163
226401.55,17734.4304692364
234587.49,15629.7795059284
241343.44,15360.9440960384
247642.52,13765.0576479033
253388.41,13582.5013406436
259088.48,12652.6840219454
263534.35,12239.8823122478
267481.34,11108.3043021467
271675.9,10348.9081720506
274784.86,9920.73255483921
277779.57,9546.81803381672
280581.5,8343.02262705523
283071.99,7707.81785532119
285311.17,6743.87080057503
287388.95,5931.88903152472
289100.3,5747.46452750685
291007.31,5339.16256002037
292699.51,4925.50077543267
294186.09,4725.04027687392
295622.83,4357.85470123439
296830.71,4233.92717690006
297830.37,4120.56141770399
298970.64,3776.35078654384
299914.06,3560.5332389768
300997.06,3269.39509686332
301950.66,2976.26593461259
302813.71,2740.23420179865
303597.18,2487.75580332349
304315.7,2306.56993359964
304873.99,2223.86369347847
305479.71,2066.30856279179
306040.18,2086.86462600542
306549.53,2042.12264521032
307058.46,1908.98250130875
307552.52,1791.31965620519
307961.03,1740.96669683683
308374.46,1646.05218825669
308784.83,1602.1407966918
309173.17,1578.71421953744
309538.95,1509.45367315931
309904.8,1442.09456252797
310211.54,1392.65216363918
310499.62,1359.50998881839
310792.41,1329.96241380018
311118.23,1217.35935329323
311368.99,1220.51785246338
311630.03,1137.18304679554
311918.16,1006.97514559118
312134.31,975.269584020312
312348.8,975.762307536052
312606.42,931.739539406228
312812.37,895.616019082041
313035.95,857.343022413321
313217.5,835.186321678697
313392.23,783.536013173226
313548.33,767.684318735457
313689.68,731.410411120152
313857.79,668.990514872893
313980.82,650.174667751565
314122.68,646.240673183581
314258.83,632.768185727354
314368.55,613.575254907125
314500.05,579.925410999753
314624.43,545.549954290405
314725.19,518.545882465787
314813.95,517.331192884513
314905.65,499.504327541137
315000.28,461.937795453768
315089.54,434.69514268129
315179.25,406.637067353008
315263.16,417.697796126445
315351.03,413.52621245072
315433.29,391.036418645464
315502.24,382.279978840407
315561.22,376.740823485866
315632.29,363.255184673143
315705.36,347.378538325109
315773.44,346.601984641715
315841.29,336.982698803558
315897.91,328.610023239915
315952.88,313.871307347068
316006.39,304.059101611393
316058.95,295.967182694844
316111.73,279.13437099488
316160.18,266.171372607874
316205.22,254.592428493985
316254.04,239.952811859315
316305.09,230.297922770318
316348.12,220.817822439835
316385.46,210.8603549578
316422.65,200.656215120954
316463.1,188.723007970342
316495.06,187.923626223339
316530.03,185.591408228077
316560.45,179.567402443211
316586.59,171.5860119443
316613.71,161.682523121172
316645.16,158.164453476229
316674.14,152.929376979815
316705.74,141.334664087503
316733.33,131.200136656125
316761.99,127.041748884357
316785.38,117.452915990824
316808.66,112.396234524799
316826.83,107.364954404794
316850.08,101.942415910239
316872.71,96.8002520031781
316892.73,95.3778085491398
316912.57,91.229343033385
316932.92,90.5789102931747
316953.58,83.1510952812087
316969.46,79.5605886901755
316988.05,73.8646557816211
317005.23,66.9456065953864
317020.94,65.3592743799589
317034.38,62.482285166245
317050.52,56.2495306377724
317063.64,50.086293211584
317077.86,41.5765133777048
317090.66,37.3406973256751
317102.38,33.0551360638861
317115.91,26.3347122768993
317128.34,16.6728594555416
317139,0
